Date,VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV
2024-03-21,467.8526611328125,511.25213623046875,509.7932434082031,252.8046417236328,441.0264892578125,47.06501388549805,342.74737548828125,201.97000122070312,69.15364837646484,154.21437072753906
2024-03-22,467.24127197265625,510.5699462890625,508.8267517089844,252.0937042236328,441.53094482421875,46.90534210205078,343.054443359375,200.35000610351562,68.97650146484375,153.47781372070312
2024-03-25,466.03216552734375,508.97186279296875,507.4208068847656,251.52809143066406,439.9284973144531,46.839599609375,341.94488525390625,200.99000549316406,68.84596252441406,153.20997619628906
2024-03-26,464.7256164550781,507.8998107910156,506.4837646484375,251.07948303222656,438.504150390625,46.90534210205078,341.09283447265625,201.63999938964844,68.95784759521484,153.12388610839844
2024-03-27,468.78192138671875,512.3240966796875,510.74005126953125,253.2932586669922,439.99774169921875,47.215293884277344,341.8359069824219,203.10000610351562,69.39605712890625,155.31434631347656
2024-03-28,468.7234191894531,512.3338623046875,510.6424865722656,253.45901489257812,439.1866760253906,47.12137222290039,341.00372314453125,205.72000122070312,69.20026397705078,155.78309631347656
2024-04-01,468.109130859375,511.50567626953125,509.754150390625,253.26394653320312,440.1164245605469,46.93352508544922,341.07305908203125,207.82000732421875,68.89258575439453,155.17088317871094
2024-04-02,465.04730224609375,508.16302490234375,506.51300048828125,250.92340087890625,436.3181457519531,46.642364501953125,338.6854248046875,210.88999938964844,68.40775299072266,154.17608642578125
2024-04-03,465.46661376953125,508.7281188964844,507.06939697265625,251.31350708007812,437.29742431640625,46.89595031738281,339.3888244628906,212.74000549316406,68.80867004394531,154.20477294921875
2024-04-04,459.73309326171875,502.4717102050781,500.8800964355469,248.30007934570312,430.61083984375,46.520259857177734,334.6432800292969,211.52000427246094,68.23059844970703,152.62648010253906
2024-04-05,464.6183166503906,507.71466064453125,506.11273193359375,250.80641174316406,435.68511962890625,46.68932342529297,339.5968933105469,215.13999938964844,68.4730224609375,153.630859375
2024-04-08,464.8035888671875,507.85113525390625,506.39581298828125,251.09896850585938,435.8137512207031,46.91474151611328,339.5968933105469,216.47999572753906,68.83663940429688,153.67868041992188
2024-04-09,465.37884521484375,508.4846496582031,506.9815673828125,251.45980834960938,437.426025390625,46.92413330078125,339.64642333984375,217.6699981689453,68.82732391357422,153.8125762939453
2024-04-10,460.87396240234375,503.553466796875,501.9051208496094,248.6511993408203,433.6079406738281,46.21970748901367,337.6847839355469,215.61000061035156,67.91360473632812,151.8708038330078
2024-04-11,464.19903564453125,507.32489013671875,505.69293212890625,250.3383026123047,440.5318603515625,46.38876724243164,342.9257507324219,219.8000030517578,68.11871337890625,151.6986083984375
2024-04-12,457.8707275390625,500.2303161621094,498.71282958984375,246.73001098632812,433.509033203125,45.58102798461914,338.1603088378906,216.88999938964844,66.9998779296875,149.48899841308594
2024-04-15,452.0591735839844,494.03240966796875,492.4648742675781,243.69705200195312,426.3773498535156,45.421356201171875,331.8495178222656,220.9499969482422,66.79476165771484,148.6759490966797
2024-04-16,451.2498474121094,493.0871276855469,491.5667724609375,242.9656524658203,426.4168701171875,44.94234085083008,331.9684143066406,221.22000122070312,66.11412811279297,148.09243774414062
2024-04-17,448.52935791015625,490.2220764160156,488.6575622558594,241.5418243408203,421.2140808105469,44.970523834228516,328.8476257324219,219.58999633789062,66.15142822265625,147.8533172607422
