Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
138,138,"ACGL,APP,BKR,ETR,PAYX,SATS,SWK,TAP,TMO,VTR",2023-03-03,2023-03-10,1,min_variance,0.0061672619229482546,0.00616532564163208
139,139,"APP,CDW,COR,EXE,FITB,HON,POOL,SBAC,VRTX,VST",2023-08-04,2023-08-11,1,mean_variance,0.03920668433751159,0.03920722007751465
140,140,"BR,GPN,LH,NI,NWSA,RSG,STE,VST,VTR,YUM",2026-03-06,2026-03-13,1,mean_variance,0.03312669030751175,0.033122718334198
141,141,"COR,HAS,HCA,INTC,IQV,OMC,PSA,TRV,TTD,WY",2022-07-22,2022-07-29,1,mean_variance,0.0087937406192589,0.008821487426757812
142,142,"APA,BF-B,CMS,FSLR,HON,NI,OMC,PH,SJM,TTD",2022-11-04,2022-11-11,1,equal_weight,-0.0019033614460792349,-0.0018715858459472656
143,143,"APO,CDW,DHI,GPN,MDLZ,NI,SJM,TMO,VRTX,WY",2023-06-16,2023-06-23,1,mean_variance,0.0044714673566811445,0.004469573497772217
144,144,"COR,LH,NCLH,NI,NTAP,OMC,PSX,SATS,TMO,WDC",2026-03-27,2026-04-02,1,mean_variance,0.005745983208434848,0.005771636962890625
145,145,"BR,FSLR,GPN,HCA,MDLZ,NCLH,RSG,SJM,TTD,WDC",2025-07-25,2025-08-01,1,mean_variance,0.04300629983166713,0.04300636053085327
146,146,"CHD,CPRT,HAS,PAYX,PH,POOL,PSX,SATS,TRV,VST",2021-09-10,2021-09-17,1,min_variance,0.0010205864733473468,0.0010401010513305664
147,147,"BIIB,ESS,HCA,HSIC,IQV,KKR,LLY,TAP,VRTX,VST",2022-08-19,2022-08-26,1,min_variance,0.0013271391373520232,0.0013402700424194336
148,148,"AME,APO,EXE,INTC,KKR,MDLZ,PSA,TTD,VRT,XYL",2025-05-30,2025-06-06,1,equal_weight,-0.002512011685601748,-0.0024983882904052734
149,149,"CMS,FCX,GOOG,HON,IBM,NCLH,NI,PANW,PSA,SJM",2021-10-22,2021-10-29,1,equal_weight,-0.00025718781686882673,-0.00022971630096435547
150,150,"APO,DHI,FTNT,INTC,IQV,KKR,MAR,NI,PH,PSA",2025-08-01,2025-08-08,1,mean_variance,0.023656124509814126,0.02365952730178833
151,151,"BIIB,BKR,CDW,COR,ESS,MCHP,PANW,SJM,STE,VTR",2022-11-11,2022-11-18,1,min_variance,0.004422886673588743,0.004448831081390381
152,152,"CDW,CHD,GOOG,KKR,OKE,PANW,PSA,SATS,STE,WY",2025-11-14,2025-11-21,1,mean_variance,0.004308252442137091,0.0043579936027526855
153,153,"AWK,CARR,EQIX,HCA,IQV,NCLH,NWSA,PSX,RF,SATS",2022-12-02,2022-12-09,1,min_variance,0.005705284040075331,0.005702674388885498
154,154,"CDW,CHD,DHI,ES,FSLR,FTNT,HAS,INTC,POOL,VRTX",2023-08-04,2023-08-11,1,equal_weight,-0.0014864525704910184,-0.0014848709106445312
155,155,"APP,DHI,ETR,GOOG,MAR,NVR,RF,SBAC,TMO,VTR",2024-08-30,2024-09-06,1,min_variance,0.005102715080164931,0.005108237266540527
156,156,"GOOG,HCA,IQV,LH,MDLZ,RSG,SATS,STE,TRV,YUM",2022-02-18,2022-02-25,1,mean_variance,0.0019639901817908737,0.0019664764404296875
157,157,"BKR,EQIX,HON,LMT,NTAP,PH,POOL,SJM,VST,WFC",2024-03-01,2024-03-08,1,mean_variance,0.0068824310872393915,0.006881833076477051
